id,topic,difficulty,question,answer
42,Array,1,"Given array [VALUES], what is the result after removing all duplicate elements?",Remove duplicates to get [NO_DUPLICATES].
43,Array,1,"Given array [VALUES], what is the result after reversing only the first three elements?",Reverse the first three elements to get [REVERSED_FIRST_THREE].
44,Array,1,"Given array [VALUES], what is the result after swapping the first and last elements?",Swap first and last elements to get [SWAPPED_FIRST_LAST].
45,Array,1,"Given array [VALUES], what is the result after multiplying each element by its index?",Multiply each element by its index to get [MULTIPLIED_BY_INDEX].
46,Array,1,"Given array [VALUES], what is the result after removing all elements greater than 50?",Remove all elements greater than 50 to get [NO_GREATER_50].
47,Array,2,"Given the array [VALUES], find the indices of all elements that are even numbers.",Iterate through the array and collect indices where arr[i] % 2 == 0.
48,Array,2,"In the array [VALUES], find the second largest element.",Sort the array or use two variables to track largest and second largest: [SECOND_MAX].
49,Array,2,"Given the array [VALUES], find the product of all elements.",Multiply all elements together: [PRODUCT].
50,Array,2,"In the array [VALUES], calculate the running sum (cumulative sum).",Create a new array where each element is the sum of all previous elements including current.
51,Array,2,"Given the array [VALUES], find the median value.",Sort the array and find the middle element(s): [MEDIAN].
52,Array,2,"In the array [VALUES], find all pairs of elements that sum to 100.","Use nested loops or hash map to find pairs (i,j) where arr[i] + arr[j] = 100."
53,Array,2,"Given the array [VALUES], rotate it to the right by 2 positions.","Move elements: last 2 elements move to front, others shift right."
54,Array,2,"In the array [VALUES], find the majority element (appears more than n/2 times).",Use Boyer-Moore algorithm or count frequencies to find element appearing > n/2 times.
55,Array,2,"Given the array [VALUES], remove all duplicates and return the new array.",Use a set or hash map to track seen elements and build new array.
56,Array,2,"In the array [VALUES], find the longest sequence of consecutive increasing numbers.","Iterate and track current sequence length, update maximum when sequence breaks."
57,Array,2,"Given array [VALUES], find the subarray with maximum sum using Kadane's algorithm.","Use dynamic programming: track current_sum and max_sum, reset current_sum when negative."
58,Array,2,"In array [VALUES], find the missing number if it contains n-1 distinct numbers from 1 to n.",Use sum formula: expected_sum - actual_sum = missing number.
59,Array,2,"Given array [VALUES], implement binary search to find target element 50.","Sort array first, then use divide and conquer: compare middle with target."
60,Array,2,"In array [VALUES], find the peak element (greater than its neighbors).","Check each element with its neighbors, or use binary search approach."
61,Array,2,"Given array [VALUES], merge it with another sorted array efficiently.",Use two pointers technique to merge in O(n+m) time.
62,Array,2,"Given the array [VALUES], find the minimum difference between any two elements.",Sort the array and find the minimum difference between consecutive elements: [MIN_DIFF].
63,Array,2,"Given the array [VALUES], find the longest subarray with all unique elements.",Use a sliding window to track the longest subarray with unique elements: [LONGEST_UNIQUE].
64,Array,2,"Given the array [VALUES], find the number of inversions (i < j and arr[i] > arr[j]).","Count all pairs (i, j) where i < j and arr[i] > arr[j]: [INVERSION_COUNT]."
65,Array,2,"Given the array [VALUES], find the kth smallest element.",Sort the array or use a min-heap to find the kth smallest element: [KTH_SMALLEST].
66,Array,2,"Given the array [VALUES], find the maximum product of any two elements.","Find the two largest and two smallest elements, return the maximum product: [MAX_PRODUCT]."
67,Array,3,"Given the array [VALUES], implement the Kadane's algorithm to find the maximum subarray sum.","```python
def kadane(arr):
    max_sum = current_sum = arr[0]
    for i in range(1, len(arr)):
        current_sum = max(arr[i], current_sum + arr[i])
        max_sum = max(max_sum, current_sum)
    return max_sum```"
68,Array,3,"Given the array [VALUES], find all triplets that sum to zero using 3Sum algorithm.","```python
def three_sum(arr):
    arr.sort()
    result = []
    for i in range(len(arr)-2):
        if i > 0 and arr[i] == arr[i-1]: continue
        left, right = i+1, len(arr)-1
        while left < right:
            total = arr[i] + arr[left] + arr[right]
            if total == 0:
                result.append([arr[i], arr[left], arr[right]])
                left += 1
                right -= 1
            elif total < 0: left += 1
            else: right -= 1
    return result```"
69,Array,3,"In the array [VALUES], find the longest bitonic subarray (increases then decreases).","```python
def longest_bitonic(arr):
    n = len(arr)
    inc = [1] * n  # increasing lengths
    dec = [1] * n  # decreasing lengths
    
    for i in range(1, n):
        if arr[i] > arr[i-1]:
            inc[i] = inc[i-1] + 1
    
    for i in range(n-2, -1, -1):
        if arr[i] > arr[i+1]:
            dec[i] = dec[i+1] + 1
    
    return max(inc[i] + dec[i] - 1 for i in range(n))```"
70,Array,3,"Given the array [VALUES], find the equilibrium index where left sum equals right sum.","```python
def equilibrium_index(arr):
    total_sum = sum(arr)
    left_sum = 0
    for i in range(len(arr)):
        if left_sum == total_sum - left_sum - arr[i]:
            return i
        left_sum += arr[i]
    return -1```"
71,Array,3,"In the array [VALUES], find minimum jumps to reach end where each element is max jump length.","```python
def min_jumps(arr):
    if len(arr) <= 1: return 0
    if arr[0] == 0: return -1
    
    jumps = 1
    max_reach = arr[0]
    steps = arr[0]
    
    for i in range(1, len(arr)):
        if i == len(arr) - 1: return jumps
        max_reach = max(max_reach, i + arr[i])
        steps -= 1
        if steps == 0:
            jumps += 1
            if i >= max_reach: return -1
            steps = max_reach - i
    return -1```"
72,Array,3,"Given the array [VALUES], rearrange it so that arr[i] becomes arr[arr[i]] with O(1) space.","```python
def rearrange(arr):
    n = len(arr)
    for i in range(n):
        arr[i] += (arr[arr[i]] % n) * n
    for i in range(n):
        arr[i] //= n```"
73,Array,3,"In array [VALUES], find maximum difference between elements where larger comes after smaller.","```python
def max_difference(arr):
    min_element = arr[0]
    max_diff = arr[1] - arr[0]
    for i in range(1, len(arr)):
        max_diff = max(max_diff, arr[i] - min_element)
        min_element = min(min_element, arr[i])
    return max_diff```"
74,Array,3,"Given array [VALUES], implement Dutch National Flag algorithm for 0s, 1s, 2s.","```python
def dutch_flag(arr):
    low = mid = 0
    high = len(arr) - 1
    while mid <= high:
        if arr[mid] == 0:
            arr[low], arr[mid] = arr[mid], arr[low]
            low += 1
            mid += 1
        elif arr[mid] == 1:
            mid += 1
        else:
            arr[mid], arr[high] = arr[high], arr[mid]
            high -= 1```"
75,Array,3,"In array [VALUES], find the smallest positive missing number.","```python
def first_missing_positive(arr):
    n = len(arr)
    for i in range(n):
        while 1 <= arr[i] <= n and arr[arr[i]-1] != arr[i]:
            arr[arr[i]-1], arr[i] = arr[i], arr[arr[i]-1]
    
    for i in range(n):
        if arr[i] != i + 1:
            return i + 1
    return n + 1```"
76,Array,3,"Given array [VALUES], find maximum product subarray.","```python
def max_product_subarray(arr):
    max_prod = min_prod = result = arr[0]
    for i in range(1, len(arr)):
        if arr[i] < 0:
            max_prod, min_prod = min_prod, max_prod
        max_prod = max(arr[i], max_prod * arr[i])
        min_prod = min(arr[i], min_prod * arr[i])
        result = max(result, max_prod)
    return result```"
77,Array,3,Implement sliding window maximum for array [VALUES] with window size 3.,"```python
from collections import deque
def sliding_window_max(arr, k):
    dq = deque()
    result = []
    for i in range(len(arr)):
        while dq and dq[0] <= i - k:
            dq.popleft()
        while dq and arr[dq[-1]] <= arr[i]:
            dq.pop()
        dq.append(i)
        if i >= k - 1:
            result.append(arr[dq[0]])
    return result```"
78,Array,3,"Given array [VALUES], find longest increasing subsequence length.","```python
def lis_length(arr):
    from bisect import bisect_left
    tails = []
    for num in arr:
        pos = bisect_left(tails, num)
        if pos == len(tails):
            tails.append(num)
        else:
            tails[pos] = num
    return len(tails)```"
79,Array,3,Implement merge sort for array [VALUES] and return sorted array.,"```python
def merge_sort(arr):
    if len(arr) <= 1: return arr
    mid = len(arr) // 2
    left = merge_sort(arr[:mid])
    right = merge_sort(arr[mid:])
    return merge(left, right)

def merge(left, right):
    result = []
    i = j = 0
    while i < len(left) and j < len(right):
        if left[i] <= right[j]:
            result.append(left[i])
            i += 1
        else:
            result.append(right[j])
            j += 1
    result.extend(left[i:])
    result.extend(right[j:])
    return result```"
80,Array,3,"Given array [VALUES], implement quick sort with random pivot.","```python
import random
def quick_sort(arr, low=0, high=None):
    if high is None: high = len(arr) - 1
    if low < high:
        pi = partition(arr, low, high)
        quick_sort(arr, low, pi - 1)
        quick_sort(arr, pi + 1, high)

def partition(arr, low, high):
    random_index = random.randint(low, high)
    arr[random_index], arr[high] = arr[high], arr[random_index]
    pivot = arr[high]
    i = low - 1
    for j in range(low, high):
        if arr[j] <= pivot:
            i += 1
            arr[i], arr[j] = arr[j], arr[i]
    arr[i + 1], arr[high] = arr[high], arr[i + 1]
    return i + 1```"
81,Array,3,Find all subarrays in [VALUES] with sum equal to target value 100.,"```python
def subarrays_with_sum(arr, target):
    result = []
    for i in range(len(arr)):
        current_sum = 0
        for j in range(i, len(arr)):
            current_sum += arr[j]
            if current_sum == target:
                result.append(arr[i:j+1])
    return result```"
82,Array,3,"Given the array [VALUES], find the smallest subarray with a sum greater than [TARGET_SUM].",Use a sliding window to find the smallest subarray with sum > [TARGET_SUM]: [SMALLEST_SUBARRAY].
83,Array,3,"Given the array [VALUES], find the maximum sum of a circular subarray.",Use Kadane's algorithm for both normal and circular cases: [MAX_CIRCULAR_SUM].
84,Array,3,"Given the array [VALUES], find the minimum number of swaps required to sort the array.",Count cycles in the array to determine minimum swaps: [MIN_SWAPS].
85,Array,3,"Given the array [VALUES], find the maximum sum of non-adjacent elements.",Use dynamic programming to find the maximum sum of non-adjacent elements: [MAX_NON_ADJ_SUM].
86,Array,3,"Given the array [VALUES], find the equilibrium index (sum of left elements equals sum of right elements).",Find the index where the sum of elements to the left equals the sum to the right: [EQUILIBRIUM_INDEX].
87,Singly Linked List,1,"Given a singly linked list with head pointing to node with value [HEAD] and values [VALUES], what is the value of the head node?",The value of the head node is [HEAD].
88,Singly Linked List,1,"Given a singly linked list with head node [HEAD] and values [VALUES], what is the value of the tail node?",The value of the tail node is [TAIL]. The tail is the last node whose next pointer is NULL.
89,Singly Linked List,1,Find the length of the singly linked list with head [HEAD] and values [VALUES].,Traverse from head to tail counting nodes. The length is [LENGTH].
90,Singly Linked List,1,"Given a singly linked list with head [HEAD] and values [VALUES], what is the value at the 3rd node?","Starting from head [HEAD], traverse 2 more nodes to reach the 3rd node with value [VALUE]."
91,Singly Linked List,1,Find the sum of all values in the singly linked list with head [HEAD] and values [VALUES].,Traverse all nodes and sum their values. The sum is [SUM].
92,Singly Linked List,1,"Given a singly linked list with head [HEAD] and values [VALUES], insert a new node with value 42 at the beginning.","Create new node with value 42, set its next to current head [HEAD], update head to point to new node."
93,Singly Linked List,1,"Given a singly linked list with head [HEAD] and values [VALUES], insert a new node with value 42 at the end.","Traverse to tail node [TAIL], create new node with value 42, set tail's next to new node."
94,Singly Linked List,1,Find the largest value in the singly linked list with head [HEAD] and values [VALUES].,Traverse all nodes comparing values. The largest value is [MAX].
95,Singly Linked List,1,Find the smallest value in the singly linked list with head [HEAD] and values [VALUES].,Traverse all nodes comparing values. The smallest value is [MIN].
96,Singly Linked List,1,"Given a singly linked list with head [HEAD] and values [VALUES], delete the first node.",Update head to point to head.next. The new head becomes the second node.
97,Singly Linked List,1,"In singly linked list with head [HEAD] and values [VALUES], search for value 50.",Traverse from head comparing each node's value with 50 until found or reach end.
98,Singly Linked List,1,"Given singly linked list with head [HEAD] and values [VALUES], print all values.","Start from head [HEAD], print current value, move to next until NULL."
99,Singly Linked List,1,Count even numbers in singly linked list with head [HEAD] and values [VALUES].,"Traverse all nodes, count those with value % 2 == 0."
100,Singly Linked List,1,Find second node value in singly linked list with head [HEAD] and values [VALUES].,"From head [HEAD], move to head.next to get second node value."
101,Singly Linked List,1,Check if singly linked list with head [HEAD] and values [VALUES] is empty.,"List is empty if head is NULL, otherwise it contains nodes."
102,Singly Linked List,1,"Given a singly linked list [VALUES], what is the value at the head node?",The value at the head node is [HEAD].
103,Singly Linked List,1,"Given a singly linked list [VALUES], what is the value at the tail node?",The value at the tail node is [TAIL].
104,Singly Linked List,1,"Given a singly linked list [VALUES], what is the length of the list?",The length of the list is [LENGTH].
105,Singly Linked List,1,"Given a singly linked list [VALUES], what is the value at index 2?",The value at index 2 is [VALUE_AT_2].
106,Singly Linked List,1,"Given a singly linked list [VALUES], what is the sum of all node values?",The sum of all node values is [SUM].
107,Singly Linked List,1,"Given a singly linked list [VALUES], what is the maximum value in the list?",The maximum value is [MAX].
108,Singly Linked List,1,"Given a singly linked list [VALUES], what is the minimum value in the list?",The minimum value is [MIN].
109,Singly Linked List,1,"Given a singly linked list [VALUES], what is the value of the node after the head?",The value after the head is [SECOND].
110,Singly Linked List,1,"Given a singly linked list [VALUES], what is the result after reversing the list?",The reversed list is [REVERSED].
111,Singly Linked List,1,"Given a singly linked list [VALUES], what is the value at the middle node?",The value at the middle node is [MIDDLE].
112,Singly Linked List,1,"Given a singly linked list [VALUES], what is the result after removing the head node?",The list after removing the head is [WITHOUT_HEAD].
113,Singly Linked List,1,"Given a singly linked list [VALUES], what is the result after removing the tail node?",The list after removing the tail is [WITHOUT_TAIL].
114,Singly Linked List,1,"Given a singly linked list [VALUES], what is the result after inserting 100 at the head?",The list after inserting 100 at the head is [INSERTED_HEAD].
115,Singly Linked List,1,"Given a singly linked list [VALUES], what is the result after inserting 100 at the tail?",The list after inserting 100 at the tail is [INSERTED_TAIL].
116,Singly Linked List,1,"Given a singly linked list [VALUES], what is the result after deleting the node at index 2?",The list after deleting index 2 is [DELETED_INDEX_2].
117,Singly Linked List,2,"Given a singly linked list with head [HEAD] and values [VALUES], reverse it.","```python
def reverse_list(head):
    prev = None
    current = head
    while current:
        next_temp = current.next
        current.next = prev
        prev = current
        current = next_temp
    return prev```"
118,Singly Linked List,2,Find the middle node of singly linked list with head [HEAD] and values [VALUES] using slow-fast pointer.,"```python
def find_middle(head):
    slow = fast = head
    while fast and fast.next:
        slow = slow.next
        fast = fast.next.next
    return slow```"
119,Singly Linked List,2,"Given singly linked list with head [HEAD] and values [VALUES], detect if it has a cycle.","```python
def has_cycle(head):
    slow = fast = head
    while fast and fast.next:
        slow = slow.next
        fast = fast.next.next
        if slow == fast:
            return True
    return False```"
120,Singly Linked List,2,Remove all nodes with even values from singly linked list with head [HEAD] and values [VALUES].,"```python
def remove_even(head):
    dummy = ListNode(0)
    dummy.next = head
    prev = dummy
    current = head
    while current:
        if current.val % 2 == 0:
            prev.next = current.next
        else:
            prev = current
        current = current.next
    return dummy.next```"
121,Singly Linked List,2,Delete node at position 3 in singly linked list with head [HEAD] and values [VALUES].,"```python
def delete_at_position(head, pos):
    if pos == 0: return head.next
    current = head
    for i in range(pos - 1):
        current = current.next
    current.next = current.next.next
    return head```"
122,Singly Linked List,2,Merge two sorted singly linked lists with heads [HEAD1] and [HEAD2].,"```python
def merge_sorted(l1, l2):
    dummy = ListNode(0)
    current = dummy
    while l1 and l2:
        if l1.val <= l2.val:
            current.next = l1
            l1 = l1.next
        else:
            current.next = l2
            l2 = l2.next
        current = current.next
    current.next = l1 or l2
    return dummy.next```"
123,Singly Linked List,2,Find nth node from end in singly linked list with head [HEAD] and values [VALUES].,"```python
def nth_from_end(head, n):
    first = second = head
    for i in range(n):
        first = first.next
    while first:
        first = first.next
        second = second.next
    return second```"
124,Singly Linked List,2,Remove duplicates from sorted singly linked list with head [HEAD] and values [VALUES].,"```python
def remove_duplicates(head):
    current = head
    while current and current.next:
        if current.val == current.next.val:
            current.next = current.next.next
        else:
            current = current.next
    return head```"
125,Singly Linked List,2,Rotate singly linked list with head [HEAD] and values [VALUES] to the right by k places.,"```python
def rotate_right(head, k):
    if not head or k == 0: return head
    length = 1
    tail = head
    while tail.next:
        tail = tail.next
        length += 1
    k = k % length
    if k == 0: return head
    
    new_tail = head
    for i in range(length - k - 1):
        new_tail = new_tail.next
    new_head = new_tail.next
    new_tail.next = None
    tail.next = head
    return new_head```"
126,Singly Linked List,2,Check if singly linked list with head [HEAD] and values [VALUES] is palindrome.,"```python
def is_palindrome(head):
    # Find middle and reverse second half
    slow = fast = head
    while fast and fast.next:
        slow = slow.next
        fast = fast.next.next
    
    # Reverse second half
    prev = None
    while slow:
        next_temp = slow.next
        slow.next = prev
        prev = slow
        slow = next_temp
    
    # Compare
    while prev:
        if head.val != prev.val:
            return False
        head = head.next
        prev = prev.next
    return True```"
127,Singly Linked List,2,Add two numbers represented as singly linked lists with heads [HEAD1] and [HEAD2].,"```python
def add_two_numbers(l1, l2):
    dummy = ListNode(0)
    current = dummy
    carry = 0
    while l1 or l2 or carry:
        val1 = l1.val if l1 else 0
        val2 = l2.val if l2 else 0
        total = val1 + val2 + carry
        carry = total // 10
        current.next = ListNode(total % 10)
        current = current.next
        if l1: l1 = l1.next
        if l2: l2 = l2.next
    return dummy.next```"
128,Singly Linked List,2,Swap nodes in pairs in singly linked list with head [HEAD] and values [VALUES].,"```python
def swap_pairs(head):
    dummy = ListNode(0)
    dummy.next = head
    prev = dummy
    while prev.next and prev.next.next:
        first = prev.next
        second = prev.next.next
        prev.next = second
        first.next = second.next
        second.next = first
        prev = first
    return dummy.next```"
129,Singly Linked List,2,Find intersection point of two singly linked lists with heads [HEAD1] and [HEAD2].,"```python
def get_intersection(headA, headB):
    if not headA or not headB: return None
    pA, pB = headA, headB
    while pA != pB:
        pA = pA.next if pA else headB
        pB = pB.next if pB else headA
    return pA```"
130,Singly Linked List,2,Sort singly linked list with head [HEAD] and values [VALUES] using merge sort.,"```python
def sort_list(head):
    if not head or not head.next: return head
    
    # Find middle
    slow = fast = head
    prev = None
    while fast and fast.next:
        prev = slow
        slow = slow.next
        fast = fast.next.next
    prev.next = None
    
    # Recursively sort both halves
    left = sort_list(head)
    right = sort_list(slow)
    
    # Merge sorted halves
    return merge_sorted(left, right)```"
131,Singly Linked List,2,Remove nth node from end of singly linked list with head [HEAD] and values [VALUES].,"```python
def remove_nth_from_end(head, n):
    dummy = ListNode(0)
    dummy.next = head
    first = second = dummy
    for i in range(n + 1):
        first = first.next
    while first:
        first = first.next
        second = second.next
    second.next = second.next.next
    return dummy.next```"
132,Singly Linked List,2,"Given a singly linked list [VALUES], find the index of the maximum value.",The index of the maximum value [MAX] is [MAX_INDEX].
133,Singly Linked List,2,"Given a singly linked list [VALUES], find the index of the minimum value.",The index of the minimum value [MIN] is [MIN_INDEX].
134,Singly Linked List,2,"Given a singly linked list [VALUES], what is the result after removing all even values?",The list after removing even values is [NO_EVEN].
135,Singly Linked List,2,"Given a singly linked list [VALUES], what is the result after removing all odd values?",The list after removing odd values is [NO_ODD].
136,Singly Linked List,2,"Given a singly linked list [VALUES], what is the result after doubling each value?",The list after doubling each value is [DOUBLED].
137,Singly Linked List,2,"Given a singly linked list [VALUES], what is the result after squaring each value?",The list after squaring each value is [SQUARED].
138,Singly Linked List,2,"Given a singly linked list [VALUES], what is the result after removing all duplicate values?",The list after removing duplicates is [NO_DUPLICATES].
139,Singly Linked List,2,"Given a singly linked list [VALUES], what is the result after rotating right by 2 positions?",The list after rotating right by 2 is [ROTATED_RIGHT_2].
140,Singly Linked List,2,"Given a singly linked list [VALUES], what is the sum of values at even indices?","Sum values at indices 0, 2, 4, ... to get [SUM_EVEN_INDICES]."
141,Singly Linked List,2,"Given a singly linked list [VALUES], what is the sum of values at odd indices?","Sum values at indices 1, 3, 5, ... to get [SUM_ODD_INDICES]."
142,Singly Linked List,2,"Given a singly linked list [VALUES], what is the result after reversing the first three nodes?",Reverse the first three nodes to get [REVERSED_FIRST_THREE].
143,Singly Linked List,2,"Given a singly linked list [VALUES], what is the result after swapping the first and last nodes?",Swap first and last nodes to get [SWAPPED_FIRST_LAST].
144,Singly Linked List,2,"Given a singly linked list [VALUES], what is the result after inserting 100 at index 2?",Insert 100 at index 2 to get [INSERTED_100_INDEX_2].
145,Singly Linked List,2,"Given a singly linked list [VALUES], what is the result after deleting all nodes with value 0?",Delete all nodes with value 0 to get [NO_ZERO].
146,Singly Linked List,2,"Given a singly linked list [VALUES], what is the result after removing all nodes greater than 50?",Remove all nodes greater than 50 to get [NO_GREATER_50].
147,Singly Linked List,3,"Given a singly linked list [VALUES], detect if there is a cycle.",Use Floyd's cycle detection algorithm. Cycle exists: [CYCLE_EXISTS].
148,Singly Linked List,3,"Given a singly linked list [VALUES], find the starting node of the cycle if it exists.",The starting node of the cycle is [CYCLE_START].
149,Singly Linked List,3,"Given a singly linked list [VALUES], reverse nodes in groups of k.",Reverse every k nodes in the list: [REVERSED_GROUPS].
150,Singly Linked List,3,"Given a singly linked list [VALUES], check if it is a palindrome.",The list is [PALINDROME/NOT_PALINDROME].
151,Singly Linked List,3,"Given a singly linked list [VALUES], sort the list using merge sort.",The sorted list is [SORTED_LIST].
152,Singly Linked List,3,"Given a singly linked list [VALUES], remove all nodes with duplicate values.",Traverse and remove duplicate nodes: [NO_DUPLICATES].
153,Singly Linked List,3,"Given a singly linked list [VALUES], rotate the list to the left by k positions.",Rotate left by k positions: [ROTATED_LEFT_K].
154,Singly Linked List,3,"Given a singly linked list [VALUES], rotate the list to the right by k positions.",Rotate right by k positions: [ROTATED_RIGHT_K].
155,Singly Linked List,3,"Given a singly linked list [VALUES], remove the Nth node from the end.",Remove the Nth node from the end: [REMOVED_NTH_FROM_END].
156,Singly Linked List,3,"Given a singly linked list [VALUES], partition the list around value X.",Partition the list so that all nodes less than X come before nodes greater than or equal to X: [PARTITIONED].
157,Singly Linked List,3,"Given a singly linked list [VALUES], find the intersection node with another list [VALUES2].",The intersection node is [INTERSECTION_NODE].
158,Singly Linked List,3,"Given a singly linked list [VALUES], remove all nodes with value X.",Remove all nodes with value X: [NO_X].
159,Singly Linked List,3,"Given a singly linked list [VALUES], swap every two adjacent nodes.",Swap every two adjacent nodes: [SWAPPED_PAIRS].
160,Singly Linked List,3,"Given a singly linked list [VALUES], find the length of the longest palindrome sublist.",The length of the longest palindrome sublist is [LONGEST_PALINDROME].
161,Singly Linked List,3,"Given a singly linked list [VALUES], flatten a multilevel linked list.",Flatten the multilevel list into a single-level list: [FLATTENED].
162,Singly Linked List,3,"Given a singly linked list [VALUES], add two numbers represented by two lists.",Sum the two numbers and return as a linked list: [SUM_LIST].
163,Singly Linked List,3,"Given a singly linked list [VALUES], reverse alternate k nodes.",Reverse every alternate group of k nodes: [REVERSED_ALTERNATE_K].
164,Singly Linked List,3,"Given a singly linked list [VALUES], clone the list with random pointers.",Clone the list including random pointers: [CLONED_LIST].
165,Singly Linked List,3,"Given a singly linked list [VALUES], find the node where the cycle begins.",The node where the cycle begins is [CYCLE_START_NODE].
166,Singly Linked List,3,"Given a singly linked list [VALUES], reverse the list recursively.",Reverse the list using recursion: [REVERSED_RECURSIVE].
167,Singly Linked List,3,"Given a singly linked list [VALUES], remove all nodes with value X.",Remove all nodes with value X: [NO_X].
168,Singly Linked List,3,"Given a singly linked list [VALUES], swap every two adjacent nodes.",Swap every two adjacent nodes: [SWAPPED_PAIRS].
169,Singly Linked List,3,"Given a singly linked list [VALUES], rotate the list to the left by k positions.",Rotate left by k positions: [ROTATED_LEFT_K].
170,Singly Linked List,3,"Given a singly linked list [VALUES], rotate the list to the right by k positions.",Rotate right by k positions: [ROTATED_RIGHT_K].
171,Singly Linked List,3,"Given a singly linked list [VALUES], remove the Nth node from the end.",Remove the Nth node from the end: [REMOVED_NTH_FROM_END].
172,Singly Linked List,3,"Given a singly linked list [VALUES], partition the list around value X.",Partition the list so that all nodes less than X come before nodes greater than or equal to X: [PARTITIONED].
173,Singly Linked List,3,"Given a singly linked list [VALUES], find the intersection node with another list [VALUES2].",The intersection node is [INTERSECTION_NODE].
174,Singly Linked List,3,"Given a singly linked list [VALUES], remove all nodes with value X.",Remove all nodes with value X: [NO_X].
